source_url,source_name,source_page_type,extraction_timestamp,runner_id,race_id,race_date,racecourse,race_no,horse_no,horse_name,horse_id_or_brand_no,draw,jockey,trainer,carried_weight,handicap_rating,rating_change,declared_body_weight,body_weight_change,gear,gear_change,odds,finish_position,beaten_margin,race_time,sectional_time,running_position,comments_or_notes,raw_horse,raw_finish_time,raw_running_position
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-13,2026-03-01-ST-5,2026-03-01,ST,5,13,ACE,K307,11,M Chadwick,J Richards,117,,,1255,,,,27,8,1-3/4,1:10.06,,13 12 8,,ACE (K307),1:10.06,13 12 8
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-2,2026-03-01-ST-5,2026-03-01,ST,5,2,JOY CAPITAL,K573,13,J Orman,W Y So,133,,,1121,,,,60,9,2,1:10.09,,2 2 9,,JOY CAPITAL (K573),1:10.09,2 2 9
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-11,2026-03-01-ST-5,2026-03-01,ST,5,11,ALABAMA SONG,K480,9,A Atzeni,J Size,124,,,1185,,,,12,10,2-1/4,1:10.12,,5 6 10,,ALABAMA SONG (K480),1:10.12,5 6 10
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-9,2026-03-01-ST-5,2026-03-01,ST,5,9,MAJESTIC LIFE,L085,5,Y L Chung,C H Yip,124,,,991,,,,253,11,3-1/2,1:10.32,,11 8 11,,MAJESTIC LIFE (L085),1:10.32,11 8 11
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-10,2026-03-01-ST-5,2026-03-01,ST,5,10,MY TRIUMPH,K558,4,B Avdulla,D A Hayes,126,,,1095,,,,36,12,4-3/4,1:10.52,,9 9 12,,MY TRIUMPH (K558),1:10.52,9 9 12
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-1,2026-03-01-ST-5,2026-03-01,ST,5,1,REAL GENTLEMAN,K534,1,C L Chau,K L Man,133,,,1167,,,,126,13,7,1:10.90,,7 7 13,,REAL GENTLEMAN (K534),1:10.90,7 7 13
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5-7,2026-03-01-ST-5,2026-03-01,ST,5,7,HEALTHY PONY,L046,3,R Kingscote,C W Chang,128,,,1022,,,,127,14,8,1:11.06,,14 14 14,,HEALTHY PONY (L046),1:11.06,14 14 14
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,,2026-03-01-ST-5,2026-03-01,ST,5,,GOLDEN LUCK,H159,---,---,K L Man,118,,,---,,,,---,WV,---,---,,---,,GOLDEN LUCK (H159),---,---
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=6,HKJC,Results,2026-04-27T07:50:20.401867+00:00,2026-03-01-ST-6-3,2026-03-01-ST-6,2026-03-01,ST,6,3,GALACTIC VOYAGE,K514,11,C L Chau,K W Lui,128,,,1095,,,,3.8,1,-,1:08.98,,9 8 1,,GALACTIC VOYAGE (K514),1:08.98,9 8 1
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=6,HKJC,Results,2026-04-27T07:50:20.401867+00:00,2026-03-01-ST-6-2,2026-03-01-ST-6,2026-03-01,ST,6,2,MICKLEY,K082,2,J Orman,J Size,134,,,1209,,,,7.9,2,1-1/4,1:09.16,,5 3 2,,MICKLEY (K082),1:09.16,5 3 2
